    0.141644086837768546E+01    0.252604566514492035E+00    0.479097978150844574E+04    0.743609068803162713E-03    0.354533493518829346E+00    0.695318745283340134-309
    0.848501276969909735E+00    0.208358362317085266E+00    0.448946303880214691E+04   -0.566670848985284330E-03    0.465204715728759766E-01    0.695318745283340134-309
    0.132656283378601092E+01    0.752409689128398895E+00    0.498764737969636917E+04    0.383358702710680102E-03    0.380935847759246826E+00    0.695318745283340134-309
    0.158545608520507830E+01    0.842723734676837921E+00    0.432074189811944962E+04    0.483549830648077666E-03    0.992324709892272949E+00    0.695318745283340134-309
    0.198613755702972417E+01    0.651249684393405914E+00    0.410306244134902954E+04    0.228660206048773119E-03    0.471859514713287354E+00    0.695318745283340134-309
    0.142077732086181641E+01    0.664087615907192230E+00    0.435174996435642242E+04    0.470811509389771048E-03    0.236679911613464355E+00    0.695318745283340134-309
    0.135929808616638192E+01    0.882626704871654510E+00    0.449596511954069138E+04   -0.213705079982951158E-03    0.384774804115295410E-01    0.695318745283340134-309
    0.121280763149261483E+01    0.653303042054176331E+00    0.406895401561260223E+04   -0.295277547966686605E-03    0.664173960685729980E-01    0.695318745283340134-309
    0.960346031188964888E+00    0.803904108703136444E+00    0.433639869868755341E+04   -0.107570705912856071E-03    0.346334397792816162E+00    0.695318745283340134-309
    0.113083238601684566E+01    0.577597558498382568E+00    0.414645197403430939E+04    0.641696191163225959E-03    0.234315037727355957E+00    0.695318745283340134-309
    0.198464217185974112E+01    0.262399412691593170E+00    0.483457320284843445E+04    0.746643380806308972E-03    0.144340574741363525E+00    0.695318745283340134-309
    0.129691348075866708E+01    0.812249541282653809E+00    0.479313193953037262E+04    0.370199689429726671E-03    0.204720497131347656E+00    0.695318745283340134-309
    0.909143233299255393E+00    0.738637000322341919E+00    0.446572789549827576E+04   -0.101889121879673413E-03    0.883341372013092041E+00    0.695318745283340134-309
    0.114894745349884042E+01    0.647865720093250275E+00    0.469043077987432480E+04   -0.598761696730904519E-04    0.547230243682861328E-02    0.695318745283340134-309
    0.132826085090637225E+01    0.860312119126319885E+00    0.488235051476955414E+04   -0.147993590875818486E-04    0.716167449951171875E+00    0.695318745283340134-309
    0.139606916904449463E+01    0.374907150864601135E+00    0.475038149642944336E+04    0.777328760845630838E-03    0.273837327957153320E+00    0.695318745283340134-309
    0.171426320075988770E+01    0.418340951204299927E+00    0.403988497817516327E+04    0.185613645235047927E-03    0.457220911979675293E+00    0.695318745283340134-309
    0.170482518672943106E+01    0.318090513348579407E+00    0.435159734594821930E+04    0.783173672064779416E-04    0.616907656192779541E+00    0.695318745283340134-309
    0.158481900691986088E+01    0.760179445147514343E+00    0.474429166424274445E+04    0.112195060471686421E-03    0.639420568943023682E+00    0.695318745283340134-309
    0.132328023910522452E+01    0.328717790544033051E+00    0.442736791437864304E+04    0.235696560182778881E-03    0.991781949996948242E+00    0.695318745283340134-309
    0.126030819416046147E+01    0.292885705828666687E+00    0.421766873109340668E+04    0.138548996633477273E-03    0.646779716014862061E+00    0.695318745283340134-309
    0.154632644653320317E+01    0.314823009073734283E+00    0.491235255146026611E+04    0.413183379233948787E-03    0.284754216670989990E+00    0.695318745283340134-309
    0.134364228248596196E+01    0.610613323748111725E+00    0.402421595621109009E+04    0.517723924629028389E-03    0.382387399673461914E+00    0.695318745283340134-309
    0.195061438083648686E+01    0.401098348200321198E+00    0.423587861108779907E+04    0.221551838311534401E-03    0.955277025699615479E+00    0.695318745283340134-309
    0.170013589859008785E+01    0.460687600076198578E+00    0.451178765416145325E+04    0.812087463008233173E-03    0.390402197837829590E+00    0.695318745283340134-309
    0.886230301856994696E+00    0.240710206329822540E+00    0.445318546432256699E+04   -0.734091789202141764E-03    0.395916163921356201E+00    0.695318745283340134-309
    0.179515740871429452E+01    0.589626111090183258E+00    0.459462844920158386E+04    0.118651677317116943E-03    0.802657186985015869E+00    0.695318745283340134-309
